email_id,category,action,attempt_number,status,timestamp
anurag291003sahu@gmail.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:45:25.924
anurag291003sahu@gmail.com,VERIFICATION,ATTEMPT,1.0,False,2025-09-05 02:45:50.195
anurag291003sahu@gmail.com,VERIFICATION,ATTEMPT,2.0,False,2025-09-05 02:45:59.551
anurag291003sahu@gmail.com,VERIFICATION,ATTEMPT,3.0,True,2025-09-05 02:46:09.781
user0@dummy.com,VERIFICATION,ATTEMPT,2.0,True,2025-09-05 02:48:35.039
user3@dummy.com,VERIFICATION,ATTEMPT,2.0,False,2025-09-05 02:50:05.039
user0@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:47:55.039
user4@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:49:55.039
user5@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:50:25.039
user5@dummy.com,VERIFICATION,ATTEMPT,1.0,True,2025-09-05 02:50:45.039
user3@dummy.com,VERIFICATION,ATTEMPT,3.0,False,2025-09-05 02:50:25.039
user4@dummy.com,VERIFICATION,ATTEMPT,1.0,True,2025-09-05 02:50:15.039
user6@dummy.com,VERIFICATION,ATTEMPT,1.0,True,2025-09-05 02:51:15.039
user6@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:50:55.039
user7@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:51:25.039
user7@dummy.com,VERIFICATION,ATTEMPT,1.0,True,2025-09-05 02:51:45.039
user8@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:51:55.039
user8@dummy.com,VERIFICATION,ATTEMPT,2.0,False,2025-09-05 02:52:35.039
user8@dummy.com,VERIFICATION,ATTEMPT,1.0,False,2025-09-05 02:52:15.039
user8@dummy.com,VERIFICATION,ATTEMPT,3.0,True,2025-09-05 02:52:55.039
user9@dummy.com,VERIFICATION,ATTEMPT,2.0,True,2025-09-05 02:53:05.039
user1@dummy.com,VERIFICATION,ATTEMPT,1.0,False,2025-09-05 02:48:45.039
user0@dummy.com,VERIFICATION,ATTEMPT,1.0,False,2025-09-05 02:48:15.039
user1@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:48:25.039
user9@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:52:25.039
user9@dummy.com,VERIFICATION,ATTEMPT,1.0,False,2025-09-05 02:52:45.039
user3@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:49:25.039
user1@dummy.com,VERIFICATION,ATTEMPT,2.0,False,2025-09-05 02:49:05.039
user2@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:48:55.039
user2@dummy.com,VERIFICATION,ATTEMPT,1.0,True,2025-09-05 02:49:15.039
user1@dummy.com,VERIFICATION,ATTEMPT,3.0,True,2025-09-05 02:49:25.039
user10@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:52:55.039
user3@dummy.com,VERIFICATION,ATTEMPT,1.0,False,2025-09-05 02:49:45.039
user10@dummy.com,VERIFICATION,ATTEMPT,1.0,True,2025-09-05 02:53:15.039
user11@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:53:25.039
user11@dummy.com,VERIFICATION,ATTEMPT,2.0,True,2025-09-05 02:54:05.039
user11@dummy.com,VERIFICATION,ATTEMPT,1.0,False,2025-09-05 02:53:45.039
user12@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:53:55.039
user12@dummy.com,VERIFICATION,ATTEMPT,1.0,False,2025-09-05 02:54:15.039
user13@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:54:25.039
user14@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:54:55.039
user13@dummy.com,VERIFICATION,ATTEMPT,1.0,True,2025-09-05 02:54:45.039
user12@dummy.com,VERIFICATION,ATTEMPT,2.0,True,2025-09-05 02:54:35.039
user14@dummy.com,VERIFICATION,ATTEMPT,1.0,False,2025-09-05 02:55:15.039
user14@dummy.com,VERIFICATION,ATTEMPT,3.0,False,2025-09-05 02:55:55.039
user14@dummy.com,VERIFICATION,ATTEMPT,2.0,False,2025-09-05 02:55:35.039
user15@dummy.com,VERIFICATION,ATTEMPT,1.0,False,2025-09-05 02:55:45.039
user15@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:55:25.039
user16@dummy.com,VERIFICATION,ATTEMPT,2.0,True,2025-09-05 02:56:35.039
user17@dummy.com,VERIFICATION,ATTEMPT,2.0,False,2025-09-05 02:57:05.039
user20@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:57:55.039
user20@dummy.com,VERIFICATION,ATTEMPT,1.0,False,2025-09-05 02:58:15.039
user20@dummy.com,VERIFICATION,ATTEMPT,2.0,False,2025-09-05 02:58:35.039
user20@dummy.com,VERIFICATION,ATTEMPT,3.0,False,2025-09-05 02:58:55.039
user21@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:58:25.039
user22@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:58:55.039
user21@dummy.com,VERIFICATION,ATTEMPT,1.0,True,2025-09-05 02:58:45.039
user19@dummy.com,VERIFICATION,ATTEMPT,1.0,True,2025-09-05 02:57:45.039
user22@dummy.com,VERIFICATION,ATTEMPT,1.0,True,2025-09-05 02:59:15.039
user23@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:59:25.039
user23@dummy.com,VERIFICATION,ATTEMPT,1.0,True,2025-09-05 02:59:45.039
user24@dummy.com,VERIFICATION,ATTEMPT,1.0,True,2025-09-05 03:00:15.039
user24@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:59:55.039
user25@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 03:00:25.039
user25@dummy.com,VERIFICATION,ATTEMPT,1.0,False,2025-09-05 03:00:45.039
user25@dummy.com,VERIFICATION,ATTEMPT,3.0,False,2025-09-05 03:01:25.039
user25@dummy.com,VERIFICATION,ATTEMPT,2.0,False,2025-09-05 03:01:05.039
user26@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 03:00:55.039
user17@dummy.com,VERIFICATION,ATTEMPT,3.0,True,2025-09-05 02:57:25.039
user17@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:56:25.039
user18@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:56:55.039
user17@dummy.com,VERIFICATION,ATTEMPT,1.0,False,2025-09-05 02:56:45.039
user18@dummy.com,VERIFICATION,ATTEMPT,1.0,True,2025-09-05 02:57:15.039
user19@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:57:25.039
user16@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 02:55:55.039
user15@dummy.com,VERIFICATION,ATTEMPT,2.0,True,2025-09-05 02:56:05.039
user16@dummy.com,VERIFICATION,ATTEMPT,1.0,False,2025-09-05 02:56:15.039
user27@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 03:01:25.039
user26@dummy.com,VERIFICATION,ATTEMPT,1.0,True,2025-09-05 03:01:15.039
user27@dummy.com,VERIFICATION,ATTEMPT,1.0,False,2025-09-05 03:01:45.039
user27@dummy.com,VERIFICATION,ATTEMPT,3.0,False,2025-09-05 03:02:25.039
user27@dummy.com,VERIFICATION,ATTEMPT,2.0,False,2025-09-05 03:02:05.039
user28@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 03:01:55.039
user28@dummy.com,VERIFICATION,ATTEMPT,1.0,True,2025-09-05 03:02:15.039
user29@dummy.com,VERIFICATION,TOKEN_GENERATED,,,2025-09-05 03:02:25.039
